ID,posT1,posT2,posT3,posT4,negT1,negT2,negT3,negT4,gender,group
59,4.64006,4.88284,4.77667,4.58333,1.34224,2.42267,2.06667,2.26667,0,1
60,1.99053,3.12282,3.81409,4.66182,2.41799,2.45268,2.6625,1.50333,1,1
61,3.55878,3.3475,3.27667,3.56272,3.00471,3.06992,2.06667,2.21327,0,0
62,2.29605,3.32138,2.61,3.34562,2.45191,2.26335,2.4,2.03447,1,1
63,2.91311,4.3138,3.77667,3.34638,2.35445,2.26159,1.86667,1.91828,1,1
64,4.35321,3.84979,3.94333,3.5,1.27841,1.45625,1.33333,1.26667,0,1
65,4.15274,4.15137,3.77667,4.66667,2.2869,2.22215,1.46667,1.41667,1,1
66,3.79227,3.73706,2.94333,4.5,2.03824,2.78818,1.66667,1.06667,1,0
67,2.08507,3.29523,3.80444,3.58333,1.5257,1.10769,2.06667,2.4,1,1
68,3.73109,4.2851,5.02667,4.52236,2.39425,1.90085,2.26667,2.95828,1,0
69,4.71858,3.37274,3.36,3.66667,2.21372,2.50716,2.66667,1,1,0
70,2.43296,2.96029,2.52667,3.55702,3.13527,2.6201,3.8,2.30728,0,0
71,1.93716,4.2232,4.11,3.59314,3.0673,1.00947,1.2,2.17336,0,0
72,4.50263,3.90354,3.77667,4.08333,2.05456,1.37985,2.4,1.53333,1,0
73,2.80834,4.02465,5.11,4.91667,1.19676,1.71675,2,1.4,1,1
74,1.94237,1.37979,2.77667,1.08333,4.20448,3.62706,2.4,3.46667,0,0
75,3.92097,4.91841,4.69333,4.66667,1.63974,2.11336,2.4,2.26667,1,1
76,4.42358,2.20793,2.36,3.17488,1.92995,1.99695,2,2.55516,0,0
77,2.60771,3.99385,4.11,3.61236,2.02747,1.03652,2.2,2,0,1
78,4.30825,4.95007,2.77667,4.58333,1.87132,1.29392,1.13333,1.66667,1,1
79,3.08862,3.745,5.11,4.25,1.89958,1.24119,1.33333,1.33333,0,0
80,4.87564,2.74683,3.46585,3.77735,2.02603,1.55618,1.89093,1.24508,1,0
81,4.70757,4.10589,4.61,5,2.24608,1.00672,1.13333,1.13333,0,0
82,3.07119,4.93438,4.77667,3.07986,2.24052,1.39906,1.4,1.46959,1,1
83,2.47269,3.52813,3.77667,4.33682,2.51992,2.84292,2.6,2.58385,0,0
84,4.54201,4.09782,4.35172,3.82498,2.46662,2.66208,1,1.58561,0,0
85,3.05386,3.56715,4.0059,3.35426,1.68936,1.93024,1.74265,1.4699,0,0
86,2.67316,3.15387,2.78756,3.74196,1.98889,1.4596,2.27893,1.46873,0,0
87,4.73278,3.96167,4.94333,4.54504,1.33333,1.93174,2.13333,1.47164,1,0
88,4.16667,3.61551,4.44333,3.37574,1.6,1.46667,1.73333,1.23217,0,0
89,3.11111,1.045,3.02667,3.01418,4.6,1.86667,1.46667,1.84649,0,0
90,2.20822,3.27245,3.54558,3.60039,3.50919,3.56159,1.90757,1.74531,1,0
91,5,4.12411,4.94333,4.84611,1,1.26667,1.53333,1.50362,1,0
92,2.46724,4.06146,4.70372,3.63386,2.4939,1.72569,1.27341,1.22398,0,1
93,2.37684,3.58746,1.95748,3.31285,1.04296,2.08192,1.69272,1.39164,0,1
94,4.75,4.97197,4.91226,4.87029,2.4,1.4,2.31761,1.01463,1,0
95,2.48316,2.56772,4.03943,2.99013,1.02105,1.00714,1.88064,1.94477,0,0
96,3.04917,3.07769,2.52291,3.88512,2.66888,2.42201,2.91478,1.52442,1,1
97,3.75,3.87833,4.2728,4.64636,1.33333,1.8,1.33196,1.21387,1,0
98,1,2.17652,2.62253,3.01094,3.65,3.66667,1.86205,3.15037,0,0
99,2.97222,2.95105,2.65455,3.19098,2.23333,2.06667,3.25666,1.35292,1,1
100,3.75,3.30469,5.02667,4.93004,1.73333,1.26667,1.4,1.47733,1,0
101,2.92938,2.91741,3.72933,4.98349,1.93333,1.28488,1.59266,2.61194,0,0
102,2.57774,2.50724,3.44333,3.37496,4.86667,1.18594,1.4,2.11913,1,0
103,3.52861,3.13742,2.41977,2.70751,1.74138,1.81196,1.64999,1.52221,0,0
104,2.25,2.73192,2.06998,1.41764,1.2,1.8,1.81657,1.35567,0,0
105,3.37911,4.9029,3.98756,3.58573,2.34408,1.11077,1.1344,1.08747,0,0
106,2.58333,2.48633,2.41138,3.09419,2.64444,2.6,1.76093,3.25164,0,0
107,1.91667,1.50711,2.73293,3.28067,1.13333,1.46667,1.53142,1.54879,0,1
108,4.60755,3.76767,2.82117,4.26015,1.92006,2.53696,1.69948,1.30605,0,1
109,3.89688,4.22522,3.95203,4.66413,1.85859,1.59913,1.44728,1.03009,0,1
110,3.45182,2.78908,3.0575,4.39486,1.15869,2.03659,1.89325,1.19058,0,0
111,2.26058,3.045,1.44333,1.77973,1,2.39217,2.73333,2.47576,0,0
112,4.04775,2.47887,3.30003,4.14685,1.22211,1.72519,1.6708,2.19926,0,0
113,3.42982,2.72079,4.16801,3.51508,2.55449,1.21377,1.7274,1.56977,0,0
114,4.75,4.25903,4.69094,4.25,1.45309,1.4,1.7591,2.33991,0,0
115,2.83333,2.95035,3.96324,3.36715,2.60722,3.86667,2.54877,3.22354,0,0
116,5,5.045,5.11,5,1,1,1,1,0,0
117,4.25,4.15611,3.86,3.41667,1.31322,1.06667,1.33333,1.19168,1,0
118,4.66667,3.54393,4.94333,3.58333,1.81633,1.4,1.53333,1.20363,0,0
119,3.75,3.93389,5.02667,3.83333,1.12804,1.6,1.06667,1.33333,1,0
120,3.41667,3.57515,4.24207,5,1.51041,1.06667,2.19244,1.13333,0,0
121,3.25,4.545,4.11752,4,2.67119,2.46667,2.18298,2.75752,1,1
122,4.58333,4.35056,4.69333,4.41667,1.3355,1,1.66667,1.2,1,0
123,3.83333,3.02001,5.05145,4.16667,1.97287,1.86667,1.0041,1.06667,1,1
124,4.66667,4.43147,2.47456,4.15671,2.99533,1.46667,2.14916,2.38408,0,1
125,3.08333,2.03365,3.19333,1.66667,3.185,3,3,4.46667,0,1
126,3.75,4.12833,4.27667,4,1.0056,1,1.26667,1.33333,0,0
127,3.83333,4.545,4.52667,4.41667,2.1725,1.06667,2.33333,2.23592,1,0
128,3,1.96167,4.02667,4.75,3.25149,1.2,1.4,1,1,0
129,4,2.71167,2.3704,3.33333,1.35423,2.13333,2.53933,2.26667,0,0
130,3.4675,3.93039,4.8231,4.68173,1.66868,2.41762,2.4008,1.92548,1,1
131,2.66667,3.08751,3.7946,3.32408,3.14596,1.86667,2.05693,1.6463,1,1
132,5,4.62833,4.99626,4.83311,1.67355,1.26667,1.67605,2.32012,1,1
133,4.66667,4.21308,4.06315,3.96496,1.34464,1.06667,1.51854,2.10872,0,0
134,4.75,4.545,5.02667,4.83333,2.62285,2.46667,2.2,2.11638,1,0
135,4.25,4.57153,4.93017,4.36481,2.0139,1.73333,1.54286,2.07701,1,1
136,3.5,3.07886,3.95684,2.08333,3.22628,1.73333,1.0607,1.48753,0,0
137,4.83333,4.62833,4.77667,4.66667,1.28658,1.53333,1.26667,1.16227,0,0
138,1.58333,3.24235,3.86726,2.41667,1.56363,1.46667,3.01851,1.26667,0,1
139,3.41667,4.49036,3.29461,4.61144,1.88742,1.83333,2.05756,2.23405,0,0
140,4.5,3.24657,4.972,3.15981,1.67362,2.53333,1.61862,1.79104,1,0
141,2.8895,4.545,4.86,4.66667,3.88272,1,4.26667,4.2,0,0
142,5,4.46167,4.69333,4.08333,1.24001,1.13333,1.33333,1,1,0
143,2.02292,2.23504,1.52667,3,4.39463,3.67101,2.73333,3.41667,0,0
144,2.75,2.71167,4.1624,4.9978,1.74453,2.06667,2.76814,1,1,0
145,2,4.25181,4.77667,4.83333,1.09675,1.73333,1.33333,1.66667,1,0
146,2.6961,3.38855,3.77667,4.58348,2.13859,2.76814,2.73333,2.43105,1,0
147,3.16667,3.76369,4.17369,3.41667,2.43157,2.46667,2.36826,1.66667,0,0
148,2.33333,3.67648,2.59185,4.40667,2.63257,2,2.08331,1.12406,1,1
149,4.03538,4.30442,4.16043,4.52473,2.28311,1.93611,1.75842,1.63414,1,0
150,1.87617,4.04858,3.77667,4.50122,3.41648,2.03491,2.93333,2.87961,0,0
151,2.92019,2.41392,3.86,3.16667,2.64893,1.69602,1.66667,2.4,1,0
152,4.89206,3.01895,4.52667,4.58333,2.27105,1.79407,1.46667,1.93333,0,0
153,3.57773,4.47438,4.94333,4.02371,1.43142,1.60499,2.33333,2.61415,0,1
154,2.12555,2.27681,3.25256,3.31458,2.32299,1.8594,1.60035,1.45289,1,0
155,4.06903,4.99735,4.36,3.797,3.34195,3.45571,2.73333,2.61662,1,1
156,4.1084,4.10709,3.1086,3.60489,3.48054,2.51226,1.79533,1.13554,0,1
157,4.61357,3.99085,4.61,4.16667,3.10383,2.21246,1.4,2,0,1
158,4.45773,3.38546,4.36,4,2.64317,1.9007,1.06667,1.33333,0,0
159,3.75607,3.26492,4.13778,4.58333,2.25648,2.00565,3.6,2.2,1,1
160,4.61492,4.53458,4.27667,4.5,1.1201,1.54397,1.46667,2.37681,1,0
161,1.22678,2.32736,2.36,2.75,3.17074,3.60067,3.13333,3.13333,0,0
162,2.48172,3.75171,3.86,3.00921,3.72116,1.91162,1,1.53403,1,1
163,3.06217,3.39406,2.76391,4.58333,4.08185,3.52579,2.61027,2.8,1,1
164,3.6325,3.4216,3.42455,4.13674,1.47996,2.36069,2.44741,1.1639,0,1
165,4.80934,4.31407,4.44333,4.08333,1.52399,2.39269,1.06667,1.46667,0,0
166,2.08724,2.59895,3.02667,1.91667,4.13138,2.41537,1.86667,2.16667,0,0
167,4.22791,1.91238,2.61,2.91667,3.6448,3.14887,4,1.93333,0,0
168,3.63626,2.7482,2.94333,4.16667,1.67813,1.95199,1.8,1.8,0,0
169,3.05272,3.97793,4.27667,4.5,2.05376,2.83205,2.13333,1.66667,1,0
170,4.52173,3.66418,4.02667,4.08333,2.4263,2.46653,1.13333,1.2,0,0
171,2.50683,2.94563,3.69333,4.27877,1.60665,2.07514,1.46667,2.51411,0,1
172,4,3.58514,4.63871,3.41689,2.48126,1.93333,2.79475,2.07609,0,0
173,3.48231,4.39749,4.02667,4.78128,1.78674,1.04694,1.6,1.12161,0,0
174,3.83333,4.06295,3.26517,4.57195,3.15823,2.26667,1.32928,1.28916,1,0
175,2.75,2.795,3.61,4.53453,2.06667,1.6,2.4,1.47745,1,0
176,3.15681,3.00268,3.41947,3.52281,2.65963,1.95352,2.41591,1.84908,1,1
177,4.04548,1.87833,2.25152,3.47977,1.38035,1.53788,2.31159,2.00575,0,0
178,4.16827,2.64172,3.2962,3.37007,1.18175,1.13725,1.72926,1.32231,0,1
179,4.22835,3.63119,4.21294,4.82238,2.28806,1.09609,1.42834,1.06229,0,0
180,4.33333,4.795,3.19333,4.30158,1.2,1.53333,1.06667,1.06461,1,0
181,4.4276,3.62063,3.53929,3.49483,1.38135,2.10328,1.67567,2.2667,0,1
182,3.02589,4.42808,2.74454,4.15903,2.90468,1.2807,1.49235,2.04053,0,0
183,2.66569,3.32459,3.31615,4.67887,2.42048,1.79313,1.62305,1.29752,0,0
184,3.95215,3.84609,4.1806,3.88144,1.1402,1.3334,1.04472,1.09188,0,0
185,3.23116,2.97301,2.89026,3.07095,3.32917,2.89074,2.18956,1.52699,1,1
186,3.61429,2.55456,3.84242,4.21464,1.88825,2.29347,1.86364,1.21037,0,0
187,3.32878,4.71167,2.44333,3.94104,1.60961,3.0605,4.46667,1.67015,1,1
188,3.41667,3.87833,4.02667,4.07651,1.46667,1.2,1.33333,1.29755,0,0
189,3.97237,2.62833,2.77667,4.71786,2.89988,1.94069,3,1.73384,1,0
190,3.20418,1.795,2.44333,2.15117,1.38841,1.68616,1.2,1.86898,0,1
191,4.21875,3.24755,5.03836,2.08349,2.65745,2.15164,1.57257,1.41401,1,1
192,4.16667,5.045,4.77667,4.94005,1.66667,1,1.26667,1.64538,1,0
193,3.3311,3.31177,3.1182,2.6872,1.38959,2.16101,1.80611,1.42817,0,0
194,3.84743,4.00973,4.584,4.10736,3.06667,2.48008,2.65375,1.02234,1,0
195,4.61256,3.58217,4.33132,4.53017,1.58952,1.06148,1.66882,2.09922,0,1
196,3.65404,4.04659,3.53677,3.82114,2.51578,3.70105,1.56747,2.43439,1,1
197,4.66667,3.00265,3.4185,3.2854,3.73333,3.33333,2.83782,3.34938,1,0
198,4.34495,4.67568,3.28677,4.25954,1.89822,1.45104,1.65224,2.00154,1,0
199,2.53686,4.33788,4.07226,2.52528,1.98408,1.0736,2.59783,1.58151,0,0
200,1.91667,2.32885,2.65681,1.95632,1.26667,3.6,1.82916,3.24319,1,0
201,4,3.82841,3.81185,3.15888,1.53333,1.93333,1.83278,1.74643,0,1
202,3.4129,3.6704,2.23376,3.05463,3.44789,2.51168,2.36052,1.81453,1,1
203,2.32342,3.25765,3.42311,3.53078,1.31407,1.15429,1.23351,1.15492,0,0
204,2.5,4.85147,4.50488,3.215,2.8,2.96667,2.26336,1.70613,0,1
205,4.30818,3.65267,2.19577,3.98942,3.52753,1.45512,1.65465,1.07007,0,0
206,1.91667,3.23587,4.20066,2.61755,3.46667,3.13333,2.18433,1.6436,1,0
207,1.51077,2.21167,2.11,2.67506,2.33333,1.46027,2.33333,1.47587,0,0
208,3.91667,4.46167,3.11,3.53556,1,2.4,4.53333,1.42759,1,0
209,4.75,4.87755,4.42897,4.00797,1.4,1.13333,2.15883,1.68991,1,0
210,3.97222,4.045,4.19333,3.75,1.37559,1.8,1.26667,2.33333,0,0
211,3.66667,3.81254,4.38727,4.67175,1.35006,2.13333,1.72388,2.03364,1,0
212,3.11709,3.38474,2.69915,4.95527,1.99119,2.23899,2.36823,1.69743,1,0
213,5,4.37833,4.69333,3.69887,1.08946,2.73333,1.33333,1.68837,0,0
214,4,2.73944,3.86,4.66667,1.67616,2.66667,1.46667,1,1,0
215,3.75,3.46167,4.69333,3.58333,1.47034,1.93333,1.53333,1.46667,0,0
216,3.61709,3.24681,2.49759,3.1849,2.14154,2.65514,1.91681,1.78571,0,1
217,4.41667,3.96167,1.86,2,1.14214,1.4,1.6,1,0,0
218,2.91667,2.46508,3.27992,2.08333,1.19533,1.53333,1.53348,2.33333,1,0
219,4.5,1.86402,3.77667,4.94933,1.53614,2.33333,1.13333,1.43167,0,0
220,3.33333,3.295,3.27667,3.41667,1.51933,1.33333,1.4,2.13333,1,0
221,1.83333,2.71167,1.36,1.66667,4.03226,3.46667,3.33333,2.53333,0,0
222,2.5473,3.96167,4.94333,4.75,2.96387,3.45044,1.26667,1.66667,1,0
223,4.83333,4.71167,3.86,1.08333,1.4426,2.06667,1.26667,5,0,0
224,4.53439,2.8707,2.78892,2.52368,1.92784,1.00307,1.829,1.44432,0,0
225,3.33333,2.87833,2.27667,3.75,2.58502,1.4,1.6,2.06667,1,0
226,4.08333,1.96989,2.02667,2.16667,3.12582,1.6,3.73333,1,1,0
227,1.97293,3.29311,2.94791,4.62889,1.73022,2.81537,1.71051,1.78333,1,0
228,2.78233,4.28995,4.60342,3.02726,1.01951,1.74002,2.10722,1.65947,1,1
229,4.16667,3.63826,4.36819,4.23067,2.33243,1.8,1.10235,1.98774,0,0
230,3.16667,3.545,3.44333,3.66667,2.3989,2.2,2.53333,2.2,1,0
231,3.97814,3.19207,4.46035,4.38046,1.08417,2.33396,1.38709,1.6548,0,0
232,2.79816,4.21167,4.22111,4.33333,1.23019,2.40623,1.43333,1.33333,1,0
233,3.5,3.46167,3.61,3.65306,1.72551,1.86667,1.73333,1.56521,0,0
234,4.91667,4.295,4.61,3.25,3.29296,2.53333,1.66667,1.53333,1,0
235,2.75657,4.04037,3.62622,3.59484,1.04454,1.95804,2.22565,1.98209,0,0
236,4.58333,2.24622,4.24969,2.66899,2.23063,1.6,2.75173,2.65189,0,1
237,2.33333,4.2507,4.11,2.72258,1.14384,1.93333,1.26667,1.26667,0,0
238,2.75,4.37833,3.61,3.65477,2.25436,2.73333,2.2,1.50372,1,0
239,2.5,3.21568,4.44368,3.43222,1.63148,1.26667,1.39647,1.43096,1,0
240,2.91667,3.295,2.94333,2.02126,2.05885,2.51667,1.53333,1.6469,0,0
241,4.58333,4.62833,4.27667,4.16667,2.60382,2.6,2.06667,1.6,1,1
242,4.08333,4.71167,5.11,4.66667,1.20424,2.6,1.26667,1.2,1,0
243,3.33165,3.5327,2.74157,2.74707,1.48518,2.16236,2.41475,1.53329,0,0
244,3.83333,4.295,4.52667,4.16667,1.94217,2.26667,1.4,2.2,1,0
245,4.75,4.96167,5.11,4.83333,1.03618,1.26667,1,1.2,1,0
246,2.41667,2.37833,2.02667,2,2.9324,1.06667,1.26667,1.46667,1,1
247,4.66667,3.57029,3.20657,3.39396,2.10071,1.53333,1.09247,1.37066,0,1
248,3.58333,3.40841,4.75124,3.32246,1.40211,1.33333,1.49092,1.67249,1,0
249,4.77113,4.01701,4.27667,4.25,3.59055,3.14318,1.33333,4.06667,0,0
250,3.28275,3.66017,3.62701,4.25594,2.53403,1.579,2.54251,2.25375,1,1
251,2.07661,2.85091,4.27667,3.08333,3.51365,2.43179,2.66667,1.8,1,0
252,2.4652,3.52956,4.11,4,3.5189,3.68773,2.86667,2.33333,1,0
253,4.7991,3.70231,2.43107,3.01568,2.11779,3.54234,1.78059,1.0137,0,0
254,3.07172,3.38235,3.24235,3.17146,3.42161,2.83833,2.28155,1.52517,1,0
255,3.57817,4.2155,4.86,4.33333,1.45537,1.38727,1.26667,1.2,0,0
256,2.21255,1.97985,2.36,1.91667,2.09725,3.15647,2.4,2.8,0,0
257,2.34913,2.55495,2.94333,3.96112,3.31335,2.81475,1.4,1.92436,1,0
258,3.03342,4.36224,2.94333,4.44618,1.99926,2.25743,1.2,1.26644,0,1
259,1.32402,2.31124,3.27667,2.75,3.80436,2.98956,2.5,3.06667,1,0
260,4.15276,3.39796,4.36,3.81069,2.32448,2.23502,2.46667,1.99892,1,0
261,2.45968,2.98287,4.11,3.91667,1.3955,3.42152,1.46667,4.73333,0,0
262,3.91679,3.69959,4.11,2.9,2.31699,2.16802,1.33333,1.59498,0,0
263,4.22277,4.48578,4.36,3.91667,2.50537,3.62601,2.86667,1.73333,1,0
264,3.99567,3.56468,2.27667,3.75208,2.47089,1.41314,1.8,1.00014,0,0
265,3.28242,4.26529,4.44333,4.41667,2.92386,1.75925,1.26667,1,0,0
266,3.65738,3.95217,4.19333,4.09447,2.01572,1.49845,1.26667,2.30136,1,0
267,2.75785,3.89032,3.97124,3.11967,1.79376,1.90932,1.5372,1.20761,0,1
268,1.6466,2.90985,3.11,2.08333,3.8462,3.55271,2.73333,4.13333,0,0
269,4.48047,3.70409,4.11,2.9114,1.32924,1.27198,1.6,1.49577,0,0
270,4.90638,4.97975,4.61,4.5,2.7888,1.65568,1.66667,1.55,1,0
271,4.50494,3.56516,3.20581,3.87014,1.6168,1.27152,1.40326,2.15841,1,0
272,1.95833,3.56178,3.94333,2.91667,3.83871,1.98054,2.2,1.86667,0,0
273,1.96945,3.56011,4.02667,3.33333,3.21654,3.7512,3.8,1.93333,0,0
274,3.75123,3.67634,3.77667,4.58333,3.15894,3.05828,1.93333,2.2,0,1
275,4.74905,3.34484,3.61,4.44934,2.73003,1.00011,2,1.90678,1,0
276,2.87031,2.1052,3.11,3.41667,2.16884,1.94966,1.06667,1.06667,0,0
277,4.12593,3.72404,4.52667,4.83333,2.06,2.59883,1,1.8,0,0
278,2.34414,2.59598,3.36,3.33333,2.75766,2.68695,3.33333,3.4,1,0
279,3.85614,4.04747,4.27667,2.91667,2.25061,1.91838,2.6,2.79529,1,1
280,1.9623,1.99738,2.86,2.41667,2.64049,2.15076,2.66667,3.26667,0,0
281,3.43702,4.89495,4.61,3.70019,1.22198,2.40379,2,1.96695,1,0
282,4.09729,4.49689,5.11,3.09383,1.72739,2.28349,1,1.42145,0,1
283,2.94813,3.2705,4.77667,3.91667,1.58399,1.58974,1.6,1.81493,1,0
284,4.72435,4.98687,3.86,3.83333,2.14827,3.54752,1.93333,2.26667,1,0
285,3.69771,3.54687,4.36,4.16667,2.09221,2.39272,2.2,3.06667,1,0
286,2.73962,4.03005,4.02667,4,2.63321,2.09441,4.2,1.2,0,1
287,1.29203,3.3358,3.86,3.66667,1.00084,1.24508,1.53333,1.13333,0,0
288,2.78028,2.23493,2.50661,1.93294,3.07493,1.72863,1.78206,1.78397,0,0
289,3.78602,3.14845,4.22499,4.33159,3.27133,3.14117,2.5735,1.93567,0,0
290,2.94543,3.79731,2.49547,3.48562,3.30471,1.00904,1.45517,2.3123,1,0
291,3.5,3.12833,2.52667,3.05101,2.2,2.45,1.53333,3.05944,1,0
292,4.5387,2.795,4.36,4.24151,3.46734,1.81105,2.73333,1.40498,1,0
293,2.58333,3.795,4.44333,3.08204,1.6,1.13333,1.53333,1.32833,0,0
294,3.83333,4.87833,3.39883,4.95772,1,1.53333,1.26153,1.08794,0,0
295,3.26847,3.65681,2.87141,2.97438,2.31,1.52739,2.44902,2.97508,0,0
296,2.75341,4.295,4.44333,4.75632,2.26667,1.68507,1.2,1.23181,0,0
297,4.80695,3.87833,4.44333,4.58333,1.21812,2.19277,1.73333,1.86667,0,0
298,5,4.12833,4.27667,4.77502,1.26667,1.33333,1.06667,1.00009,1,0
299,4.82559,4.79164,3.70796,3.25,3.31059,1.4709,2.76063,1.06667,0,1
300,5,5.045,4.06096,4.06417,2,1.53333,1.45199,1.88746,0,1
301,4,3.02701,4.00205,4.58643,1.53333,2.68333,1.37913,2.08702,1,0
302,4.15402,4.21135,4.20632,3.71717,2.15597,1.31478,1.88968,1.80524,0,0
303,2.7538,3.7834,3.17683,4.53881,2.85108,1.4732,2.37782,2.17034,1,1
304,3.58306,4.545,5.02667,1.91667,1.44071,2.04096,1.46667,2.73281,0,0
305,2.49595,3.21167,3.44333,2.83333,3.16537,2.39998,1.93333,2.86485,1,0
306,2.35955,3.71167,3.86,4.08333,3.15439,1.83297,1.46667,1.8,1,1
307,4.93441,3.35056,4.46712,4.18049,1.42503,2.10977,1.4567,1.3567,1,0
308,4.83333,3.295,5.11,3.97845,1.26667,1.4,1,1.30425,0,0
309,2.70304,4.04038,4.54484,3.11795,2.41967,2.02499,2.50736,1.16971,1,0
310,4.89178,3.45113,1.85841,4.08333,1.84059,3.59444,3.78119,3.53333,0,0
311,2.17374,4.40361,4.77258,3.16667,2.34893,1.85537,2.06768,1.06667,0,1
312,4.25745,4.71421,5.006,4.83333,3.28085,1.71024,2.35455,2.73333,1,1
313,3.23084,3.14678,4.32709,3.74029,2.18981,2.62421,1.92883,1.60825,1,0
